"Story","Title","Result","Date","Stability","Duration (s)"
"User crud with steps","This will create a new user","SUCCESS","2023-01-02T17:59:25.473Z[Europe/London]","0.0","2.67"
"User crud with steps","Verify if the user was added to the application","SUCCESS","2023-01-02T17:59:28.161Z[Europe/London]","0.0","1.3"
"User crud with steps","Update the user information and verify the updated information","SUCCESS","2023-01-02T17:59:29.466Z[Europe/London]","0.0","1.31"
"User crud with steps","Delete the user and verify if the user is deleted!","SUCCESS","2023-01-02T17:59:30.776Z[Europe/London]","0.0","1.21"
